date,p_R,V_R,capital_headroom,lcr_headroom,nsfr_headroom,hy_oas,usjp_10y_spread,usd_jpy_return,vix,E_p,E_T
2008-10-01,4.41582552173913,2776440.117,2286029.111870841,2163426.3605885515,2040823.6093062616,,-0.6759991458223387,-2.3010520337038285,6.2057324979230595,-1.4885255897630836,6.2057324979230595
2008-11-01,4.19642625,2805810.741,2334835.6271574255,2217091.8486967823,2099348.070236139,,-0.8740935383319656,-1.0583941037003641,5.898712752365484,-0.9662438210161648,5.898712752365484
2008-12-01,3.88814130434783,2982926.014,2519004.5002861186,2403024.1218576482,2287043.7434291784,,-1.9243588228566761,-2.138438668757486,4.297798280939833,-2.0313987458070812,4.297798280939833
2009-01-01,4.09989495342159,2840178.396,2374401.073096903,2257956.742371129,2141512.4116453547,,-1.8575901173388507,-0.39020544462524354,3.2010117172143144,-1.1238977809820472,3.2010117172143144
2009-02-01,4.19648825579123,2785990.051,2318335.0698090913,2201421.3245113646,2084507.5792136372,,-1.4593686733324809,1.1899353355368778,3.231754646735494,-0.13471666889780154,3.231754646735494
2009-03-01,4.14197136591993,2783594.116,2322411.431087392,2207115.75985924,2091820.0886310881,,-1.555211517565075,1.9475238760356537,3.0628185123742124,0.19615617923528939,3.0628185123742124
2009-04-01,4.08934316712587,2707832.771,2264902.4734076657,2154169.899009582,2043437.3246114985,,-1.5126103515936766,0.45504792872912425,2.201620038820855,-0.5287812114322762,2.201620038820855
2009-05-01,4.13313585146522,2678460.919,2235643.204957305,2124938.776446631,2014234.3479359574,,-1.1886505504228086,-0.7854816471969073,1.4452667682674225,-0.987066098809858,1.4452667682674225
2009-06-01,4.32495409356537,2893390.362,2392839.142383421,2267701.3374792757,2142563.532575131,,-0.5818060970734543,0.0523698220040823,1.0927888584817231,-0.264718137534686,1.0927888584817231
2009-07-01,4.08867726431956,2734345.52,2287151.265583278,2175352.701979098,2063554.1383749174,,-0.7814266211046286,-0.7943456789670293,0.7260973337742679,-0.787886150035829,0.7260973337742679
2009-08-01,3.89149233614812,2723118.389,2299238.6153512993,2193268.671939124,2087298.728526949,,-0.6719025598075233,0.2716015616650337,0.6231457746448508,-0.20015049907124483,0.6231457746448508
2009-09-01,3.86698059992542,2746750.705,2321885.437437341,2215669.1205466767,2109452.803656012,,-0.8125588802232828,-1.3529506190211538,0.5712039427028641,-1.0827547496222183,0.5712039427028641
2009-10-01,3.80386359288191,2694580.182,2284587.5639035637,2182089.4093794543,2079591.2548553452,,-0.9865658694788432,-0.29338571932107166,0.48711393283987237,-0.6399757943999574,0.48711393283987237
